"num","text","favorited","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","retweeted","longitude","latitude"
11,"No lie I wouldn't mind coming home smelling like coffee",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DOPECROOK",0,FALSE,NA,NA
12,"RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65664e+17,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","TiffCaruso",6,FALSE,NA,NA
13,"Have I ever told any of you that Tate Donovan bought my stepmom coffee?",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65664e+17,NA,"web","CurlysCrazyMofo",0,FALSE,NA,NA
14,"RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?",FALSE,NA,"8/9/2013 2:43",FALSE,NA,3.65664e+17,NA,"web","JoeJonasVA",6,FALSE,NA,NA
15,"@HeatherWhaley I was about 2 joke it takes 2 hands to hold hot coffee...then I read headline! #Don'tDrinkNShoot",FALSE,"HeatherWhaley","8/9/2013 2:42",FALSE,3.65647e+17,3.65664e+17,26035764,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnaDuleep",0,FALSE,NA,NA
16,"RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or hosting a renovation show on HGTV.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mpr4437",42,FALSE,NA,NA
17,"Coffee always makes everything better.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","sharkshukri",0,FALSE,NA,NA
18,"RT @AdelaideReview: Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepaulbaker",1,FALSE,NA,NA
19,"RT @LittleMelss: lmfao!!!@bryanlaca: nahhh Melanie u is fa sho like an ummm a Coffee table ;) ) yeeeee lmaoo",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","bryanlaca",1,FALSE,NA,NA
20,"I wonder if Christian Colon will get a cup of coffee once the rosters expand to 40 man in September. Really nothing to lose by doing so.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume?for?Android</a>","Shauncore",0,FALSE,NA,NA
21,"Shouldn't have drank coffee I'm jittery as fuck.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DylanBaur",0,FALSE,NA,NA
22,"#good_morning #chocolate #morning #coffee #floral #eid #nutella #waffles #crepe #jeddah #ksa #dubai #q8 http://t.co/Em61Iopri5",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LadyMonyAna1",0,FALSE,NA,NA
23,"@kungfupussy You might need to do a bulk shipment to Melbourne! @JustBeer_NoBull @brandnewblues",FALSE,"kungfupussy","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,19478601,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Mac</a>","Gridlock_Coffee",0,FALSE,NA,NA
24,"Gold Coast JCC Friday News features profile on new coffee shop in Southport that's embracing the area's heritage: http://t.co/Na32boM2bO",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","_GCJCC",0,FALSE,NA,NA
25,"Sometimes I start dancing on my coffee table because I can.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rileydreams",0,FALSE,NA,NA
26,"RT @Leslieks: .@Starbucks I have a morning free tomorrow &amp; was going to have coffee w/friends, but not until you get some #Gunsense! #momsd?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TweetJohnLane",9,FALSE,NA,NA
27,"Starbucks Coffee is the best!!! #confessyourunpopularopinion",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RedBone_Barbie5",0,FALSE,NA,NA
28,"RT @TheMindBlowing: Fat Burning Foods: Grapefruit. Watermelon. Berries. Hot Peppers. Celery. Greek Yogurt. Eggs. Fish. Green Tea. Coffee. ?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RLauren88",926,FALSE,NA,NA
29,"Witnessed a girl with a pet bird pooping on her shoulder &amp; a girl sharing ice cream with her dog at the same coffee shop. Both didn't care.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattyTheBolts",0,FALSE,NA,NA
30,"My biological watch thinks its 5:43 PM. I want Arabic coffee and cake.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","AmaniiAbdulla",0,FALSE,NA,NA
31,"I wanna lay on the couch, under some blankets, with some hot coffee, and watch old movies.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliPlayzGuitar",0,FALSE,NA,NA
32,"RT @dreyess1: Do they have rehab for coffee addicts?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashplante14",1,FALSE,NA,NA
33,"Finally! Home. There is no food or beer in the fridge. Also there is no coffee, tomorrow will be rough. Ordered pizza. Rat time!!!",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","kscottz",0,FALSE,NA,NA
34,"just drank an entire venti coffee from Starbucks &amp; still think I'm gonna fall asleep #wtf",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","destinyspooner",0,FALSE,NA,NA
35,"RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MamaArch",1600,FALSE,NA,NA
36,"My family called me weird cause I drink coffee with a straw. I just think they are mad cause they didn't think of it first",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hiya_Mariah",0,FALSE,NA,NA
37,"I drank all that coffee for nothing.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","gingi_snap",0,FALSE,NA,NA
38,"?@kayleesmith95: i want coffee if i had a car that is all my car would be used for? SAME HERE",FALSE,"kayleesmith95","8/9/2013 2:42",FALSE,3.65663e+17,3.65664e+17,332635904,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","micheeliinna",0,FALSE,NA,NA
39,"RT @marisaaaa23: ?@sheodd: Iced coffee in the mornings is soo amazing like it's my everyday breakfast pretty bad habit I'm building? that w?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheodd",1,FALSE,NA,NA
40,"RT @skylarking24: Coffee ice cream is the best thing ever ok",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HannahBrumback",2,FALSE,NA,NA
41,"I burned my tongue drinking coffee this morning",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A_luxurycar",0,FALSE,NA,NA
42,"RT @littledaisy420: iced coffee ilysm",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oglivelavalakin",2,FALSE,NA,NA
43,"Its strong connection to life. bittersweet RT @ikanatassa: coffee enthusiasts di timeline gue, boleh nanyakah? ini buat riset. why do you li",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","niyaayu",0,FALSE,NA,NA
44,"I don't drink coffee, i drink tea my dear..",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Silver Bird</a>","TheOnlyBenedict",0,FALSE,NA,NA
45,"I'm at Coffee Dominion http://t.co/0nseOXJ0K3",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Mattic6",0,FALSE,NA,NA
46,"@iowashoeguy I think Jaye could help you with the coffee #Hawkeyefootball",FALSE,"iowashoeguy","8/9/2013 2:42",FALSE,3.6565e+17,3.65664e+17,233773878,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cubfan64",0,FALSE,NA,NA
47,"RT @TLW3: Coffee cup in hand, gun in holster http://t.co/rmoBUQrcnZ #gunfail @nra",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Kristen_Wright5",1,FALSE,NA,NA
48,"RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krysmeoww",1600,FALSE,NA,NA
49,"@krizzle_3 yesssss omg. Caramel almond iced coffee milk &amp;' one sugar",FALSE,"krizzle_3","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,239123024,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennaa_leaaa",0,FALSE,NA,NA
50,"Might make some coffee right now",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","christianpalos",0,FALSE,NA,NA
51,"@katie_silliman @IntimacyFacts LMAO!!! What about avocados, spinach, coffee and tea? Those are also on my daily consumption list!! :-)",FALSE,"katie_silliman","8/9/2013 2:42",FALSE,3.65654e+17,3.65664e+17,396244905,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoeCoolSilliman",0,FALSE,NA,NA
52,"RT @SarahWCaron: Apparently tomorrow is Starbucks Appreciation Day for gun enthusiasts where they go, sip coffee and bring guns. I know whe?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bboggia2465",14,FALSE,NA,NA
53,"Coffee with foam: http://t.co/34iGwYMKhb via @YouTube",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","KDL85",0,FALSE,NA,NA
54,"@nitecoder @mattallen should have got an extra coffee to spill on it so no one else could read it. Waste of good coffee tho? maybe a chai?",FALSE,"nitecoder","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,17034483,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","warren_s",0,FALSE,NA,NA
55,"RT @IamBeyer: I'm ready for pumping spice beer/coffee, apple orchards, American horror story sea3, walking dead season sea4, college footba?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chris_gonzales_",2,FALSE,NA,NA
56,"i live for coffee flavored ice cream",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isaaclxhey",0,FALSE,NA,NA
57,"@sarakalke I hope that we all can keep this movement going..whether it be w/blizzards, coffee, groceries whatever... #PayItForward",FALSE,"rnrmusicgurl","8/9/2013 2:42",FALSE,3.65663e+17,3.65664e+17,885816266,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rnrmusicgurl",0,FALSE,NA,NA
58,"@JasonT @natasha_lh I'm much closer to your brother's pronunciation. I pronounce the O the same way I do in the word coffee You might too",FALSE,"JasonT","8/9/2013 2:42",FALSE,3.65663e+17,3.65664e+17,990711,"web","DreamtimeDrinne",0,FALSE,NA,NA
59,"I don't even like coffee",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Molli_Lynn",0,FALSE,NA,NA
60,"?@tommymaloy: coffee coolata's are the shit?",FALSE,"tommymaloy","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,346289745,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ashley_marie_x",0,FALSE,NA,NA
61,"I JUST SPILLED COFFEE DOWN MY SHIRT",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","pavingnewpaths",0,FALSE,NA,NA
62,"I think I need another coffee #StarBucks",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","platinumclubvan",0,FALSE,NA,NA
63,"I dont wanna know how much iced coffee I drink a week",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heyderjess",0,FALSE,NA,NA
64,"@thebobbieoliver every morning i stand eastward &amp; chant that 3 times 'never read any self-help books' then coffee #bourbon chaser.",FALSE,"thebobbieoliver","8/9/2013 2:42",FALSE,3.65654e+17,3.65664e+17,256677376,"web","6XBytes",0,FALSE,NA,NA
65,"@JaleneVegter: All I want right now is for someone to eat chocolate chips &amp; drink coffee &amp; go star gazing with me. #simpleasthat",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Keyz_Player96",0,FALSE,NA,NA
66,"@PIRFCT1 hahahah I don't get much coffee from there but yes they ask so many questions but still screw it up hahaha",FALSE,"PIRFCT1","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,423016602,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Baseball4Lifee6",0,FALSE,NA,NA
67,"#AlwayzRemember Neva let a nigga smack your tray and spill your coffee!!",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Alia_Dara",0,FALSE,NA,NA
68,"RT @farleftcoast: Her: I met a guy online. We?re meeting for coffee. Me: Does he have a nice dick? Her: I DON?T KNOW YET! Me: I don?t un?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thisizAsh",37,FALSE,NA,NA
69,"Fun fact: roast your own coffee bean at home using a popcorn machine! @YelpAdelaide #coffeecrawl",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gggnef",0,FALSE,NA,NA
70,"@Jer_KIngD *gives u coffee*",FALSE,"Jer_KIngD","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,321689855,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","eBahadurGT",0,FALSE,NA,NA
71,"do you think the old dude next to me would be willing to pour some of his coffee into mine coz it got cold",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","napquest",0,FALSE,NA,NA
72,"@Tifferz1991 good cause I already gave up sweet tea for green tea and coffee for hot tea and honey.",FALSE,"Tifferz1991","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,85874933,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Greta_Paige",0,FALSE,NA,NA
73,"A cup of coffee sin azucar, ag",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","Roox_21",0,FALSE,NA,NA
74,"Just for you #abdul &amp; The Coffee Theory",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","fii_lutfi",0,FALSE,NA,NA
75,"RT @pisssyprincess: Like I'm sorry food, but you've been replaced with better things, like coffee and alcohol.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Its_Ray_Ray1",1,FALSE,NA,NA
76,"@klove_01 Haha it sucks until you get used to it, then it ain't bad. Down a cup or two of coffee and then it's off to work for 12-14 hours",FALSE,"klove_01","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,36170073,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnduhrewBush05",0,FALSE,NA,NA
77,"@billshortenmp I think they have good coffee there",FALSE,"billshortenmp","8/9/2013 2:42",FALSE,3.65651e+17,3.65664e+17,137198586,"web","jcgrimes3",0,FALSE,NA,NA
78,"@rosiescala no more coffee for you",FALSE,"rosiescala","8/9/2013 2:42",FALSE,3.65663e+17,3.65664e+17,251625922,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MandyTorresss",0,FALSE,NA,NA
79,"If I were to go #Starbucks right now, I'd get a Venti Iced Vanilla coffee, w/ 2 pumps of white mocha, breve, and Extra Extra caramel drizzle",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meganmansor",0,FALSE,NA,NA
80,"@DanielleATucker do u have any suggestions on what to put in coffee instead of cream? :-) like maybe almond milk? And honey?",FALSE,"DanielleATucker","8/9/2013 2:42",FALSE,3.65646e+17,3.65664e+17,161084411,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SweetiePieSyd",0,FALSE,NA,NA
81,"RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YhosdalyL",6,FALSE,NA,NA
82,"@trishrothgeb @colecoffee @Timothybhill @LorenzoPerkins I'm creating my own Mighty Fine scale for coffee: goes to 110.",FALSE,"trishrothgeb","8/9/2013 2:42",FALSE,3.65664e+17,3.65664e+17,16713957,"web","HIflyer",0,FALSE,NA,NA
83,"you me at six on the cover of Kerrang and iced coffee. I am very content. http://t.co/IuH05pTRuI",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","shevmigoats",0,FALSE,NA,NA
84,"Jared got gum on his coffee lid and Jensen was clearly 1000% done. But like a good big brother he gave him his ow http://t.co/QQH012ZYVw",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","WeLoveSPN",1,FALSE,NA,NA
85,"Have to be up early tomorrow, and yet I just finished a large coffee. Avoid me at all costs tmrw",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Shamrock_NY",0,FALSE,NA,NA
86,"Someone come to the ridges hotel and chill ! There is a coffee shop here aswell ! Please",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SketcheeeN",0,FALSE,NA,NA
87,"@LaurenKMcKellar HAHA never! Takes much more for death plots. Denying me coffee? Yes. Edits that will make my book great? *bakes cookies*",FALSE,"LaurenKMcKellar","8/9/2013 2:42",FALSE,3.65663e+17,3.65664e+17,408751985,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elledoo",0,FALSE,NA,NA
88,"RT @lesbolife: wake up naked drinking coffee, making plans to change the world while the world was changing us",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","radicalann_",22,FALSE,NA,NA
89,"I probably shouldn't be drinking coffee this late but oh well. Ill just chug a bottle of zzzquil.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xoxohail",0,FALSE,NA,NA
90,"There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in rats.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vir1502",0,FALSE,NA,NA
91,"We went to town and ate a half decent baked cheese cake. I think we might have a new place for coffee? http://t.co/UfZCfcpSB3",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","WholeLarderLove",0,FALSE,NA,NA
92,"Coffee",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","katzseremane",0,FALSE,NA,NA
93,"Double apple shisha &amp; coffee.. What else you need for this night?",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ali_Assi28",0,FALSE,NA,NA
94,"I made coffee.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","CameronAtrium",0,FALSE,NA,NA
95,"it's Pepsi for me... @bombaytweeting: I love you less than coffee, which is more than enough.",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","musicaddict75",0,FALSE,NA,NA
96,"@chandradawn1 COFFEE!!! COFFEE COFFEE!!! COFFEE!",FALSE,"chandradawn1","8/9/2013 2:42",FALSE,3.65663e+17,3.65664e+17,373161911,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonsCrazyTweets",0,FALSE,NA,NA
97,"Coffee and my bible good combo morning twitter",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","DamionWalter1",0,FALSE,NA,NA
98,"I need money so I can buy candles, coffee, gas, black n milds, and tattoos. #Seriously",FALSE,NA,"8/9/2013 2:42",FALSE,NA,3.65664e+17,NA,"web","mir_anderson",0,FALSE,NA,NA
